"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19711","validate register link","chromium","2026-05-27","failed","2026-05-27","","report.spec.ts","",""
"","17448","search item test","chromium","2026-05-27","passed","2026-05-27","","report.spec.ts","",""
